action;sentence
maken; $ Lid1 :  $  Als tijdstip waarop een bericht door een bestuursorgaan elektronisch is verzonden, geldt het tijdstip waarop het bericht een systeem voor gegevensverwerking bereikt waarvoor het bestuursorgaan geen verantwoordelijkheid draagt of, indien het bestuursorgaan en de geadresseerde gebruik maken van hetzelfde systeem voor gegevensverwerking, het tijdstip waarop het bericht toegankelijk wordt voor de geadresseerde.  $ Lid2 :  $  Als tijdstip waarop een bericht door een bestuursorgaan elektronisch is ontvangen, geldt het tijdstip waarop het bericht zijn systeem voor gegevensverwerking heeft bereikt.
ontvangen; $ Lid1 :  $  Als tijdstip waarop een bericht door een bestuursorgaan elektronisch is verzonden, geldt het tijdstip waarop het bericht een systeem voor gegevensverwerking bereikt waarvoor het bestuursorgaan geen verantwoordelijkheid draagt of, indien het bestuursorgaan en de geadresseerde gebruik maken van hetzelfde systeem voor gegevensverwerking, het tijdstip waarop het bericht toegankelijk wordt voor de geadresseerde.  $ Lid2 :  $  Als tijdstip waarop een bericht door een bestuursorgaan elektronisch is ontvangen, geldt het tijdstip waarop het bericht zijn systeem voor gegevensverwerking heeft bereikt.
besluiten;" $ Lid1 :  $  Op besluiten, inhoudende algemeen verbindende voorschriften:  $ Onderdeela :  $  is  slechts van toepassing, voor zover de aard van de besluiten zich daartegen niet verzet;afdeling 3.2 is  slechts van toepassing, voor zover de aard van de besluiten zich daartegen niet verzet;  $ Onderdeelb :  $  zijn de  en  niet van toepassing.afdelingen 3.6 zijn de  en  niet van toepassing.  $ Lid2 :  $  Op andere handelingen van bestuursorganen dan besluiten zijn de  van overeenkomstige toepassing, voor zover de aard van de handelingen zich daartegen niet verzet.afdelingen 3.2 tot en met 3.4 Op andere handelingen van bestuursorganen dan besluiten zijn de  van overeenkomstige toepassing, voor zover de aard van de handelingen zich daartegen niet verzet."
verleend;Het bestuursorgaan gebruikt de bevoegdheid tot het nemen van een besluit niet voor een ander doel dan waarvoor die bevoegdheid is verleend.
nemen; $ Lid1 :  $  In deze afdeling wordt verstaan onder adviseur: een persoon of college, bij of krachtens wettelijk voorschrift belast met het adviseren inzake door een bestuursorgaan te nemen besluiten en niet werkzaam onder verantwoordelijkheid van dat bestuursorgaan.  $ Lid2 :  $  Deze afdeling is niet van toepassing op het horen van de Raad van State.
gesteld; $ Lid1 :  $  Indien aan de adviseur niet reeds bij wettelijk voorschrift een termijn is gesteld, kan het bestuursorgaan aangeven binnen welke termijn een advies wordt verwacht. Deze termijn mag niet zodanig kort zijn, dat de adviseur zijn taak niet naar behoren kan vervullen.  $ Lid2 :  $  Indien het advies niet tijdig wordt uitgebracht staat het enkele ontbreken daarvan niet in de weg aan het nemen van het besluit.
stelt; $ Lid1 :  $  Het bestuursorgaan waaraan advies wordt uitgebracht, stelt aan de adviseur, al dan niet op verzoek, de gegevens ter beschikking die nodig zijn voor een goede vervulling van diens taak.  $ Lid2 :  $  is van overeenkomstige toepassing.Artikel 10 van de Wet openbaarheid van bestuur
genomen; $ Lid1 :  $  Deze afdeling is van toepassing op de voorbereiding van besluiten indien dat bij wettelijk voorschrift of bij besluit van het bestuursorgaan is bepaald.  $ Lid2 :  $  Tenzij bij wettelijk voorschrift of bij besluit van het bestuursorgaan anders is bepaald, is deze afdeling niet van toepassing op de voorbereiding van een besluit inhoudende de afwijzing van een aanvraag tot intrekking of wijziging van een besluit.  $ Lid3 :  $  is mede van toepassing op andere besluiten dan beschikkingen, indien deze op aanvraag worden genomen en voorbereid overeenkomstig deze afdeling.Afdeling 4.1.1 is mede van toepassing op andere besluiten dan beschikkingen, indien deze op aanvraag worden genomen en voorbereid overeenkomstig deze afdeling.  $ Lid4 :  $  Indien deze afdeling van toepassing is op de voorbereiding van een besluit is . niet van toepassing.paragraaf 4.1.3.3 Indien deze afdeling van toepassing is op de voorbereiding van een besluit is . niet van toepassing.
nemen; $ Lid1 :  $  Het bestuursorgaan legt het ontwerp van het te nemen besluit, met de daarop betrekking hebbende stukken die redelijkerwijs nodig zijn voor een beoordeling van het ontwerp, ter inzage.  $ Lid2 :  $  is van overeenkomstige toepassing. Indien op grond daarvan bepaalde stukken niet ter inzage worden gelegd, wordt daarvan mededeling gedaan.Artikel 10 van de Wet openbaarheid van bestuur  $ Lid3 :  $  Tegen vergoeding van ten hoogste de kosten verstrekt het bestuursorgaan afschrift van de ter inzage gelegde stukken.  $ Lid4 :  $  De stukken liggen ter inzage gedurende de in , bedoelde termijn.artikel 3:16, eerste lid De stukken liggen ter inzage gedurende de in , bedoelde termijn.
gegeven;" $ Lid1 :  $  Voorafgaand aan de terinzagelegging geeft het bestuursorgaan in een of meer dag-, nieuws-, of huis-aan-huisbladen of op een andere geschikte wijze kennis van het ontwerp. Volstaan kan worden met het vermelden van de zakelijke inhoud.  $ Lid2 :  $  Indien het een besluit van een tot de centrale overheid behorend bestuursorgaan betreft, wordt de kennisgeving in ieder geval in de Staatscourant geplaatst, tenzij bij wettelijk voorschrift anders is bepaald.  $ Lid3 :  $  In de kennisgeving wordt vermeld:  $ Onderdeela :  $  waar en wanneer de stukken ter inzage zullen liggen;  $ Onderdeelb :  $  wie in de gelegenheid worden gesteld om zienswijzen naar voren te brengen;  $ Onderdeelc :  $  op welke wijze dit kan geschieden;  $ Onderdeeld :  $  indien toepassing is gegeven aan : de termijn waarbinnen het besluit zal worden genomen.artikel 3:18, tweede lid indien toepassing is gegeven aan : de termijn waarbinnen het besluit zal worden genomen."
geplaatst;" $ Lid1 :  $  Voorafgaand aan de terinzagelegging geeft het bestuursorgaan in een of meer dag-, nieuws-, of huis-aan-huisbladen of op een andere geschikte wijze kennis van het ontwerp. Volstaan kan worden met het vermelden van de zakelijke inhoud.  $ Lid2 :  $  Indien het een besluit van een tot de centrale overheid behorend bestuursorgaan betreft, wordt de kennisgeving in ieder geval in de Staatscourant geplaatst, tenzij bij wettelijk voorschrift anders is bepaald.  $ Lid3 :  $  In de kennisgeving wordt vermeld:  $ Onderdeela :  $  waar en wanneer de stukken ter inzage zullen liggen;  $ Onderdeelb :  $  wie in de gelegenheid worden gesteld om zienswijzen naar voren te brengen;  $ Onderdeelc :  $  op welke wijze dit kan geschieden;  $ Onderdeeld :  $  indien toepassing is gegeven aan : de termijn waarbinnen het besluit zal worden genomen.artikel 3:18, tweede lid indien toepassing is gegeven aan : de termijn waarbinnen het besluit zal worden genomen."
gesteld;" $ Lid1 :  $  Voorafgaand aan de terinzagelegging geeft het bestuursorgaan in een of meer dag-, nieuws-, of huis-aan-huisbladen of op een andere geschikte wijze kennis van het ontwerp. Volstaan kan worden met het vermelden van de zakelijke inhoud.  $ Lid2 :  $  Indien het een besluit van een tot de centrale overheid behorend bestuursorgaan betreft, wordt de kennisgeving in ieder geval in de Staatscourant geplaatst, tenzij bij wettelijk voorschrift anders is bepaald.  $ Lid3 :  $  In de kennisgeving wordt vermeld:  $ Onderdeela :  $  waar en wanneer de stukken ter inzage zullen liggen;  $ Onderdeelb :  $  wie in de gelegenheid worden gesteld om zienswijzen naar voren te brengen;  $ Onderdeelc :  $  op welke wijze dit kan geschieden;  $ Onderdeeld :  $  indien toepassing is gegeven aan : de termijn waarbinnen het besluit zal worden genomen.artikel 3:18, tweede lid indien toepassing is gegeven aan : de termijn waarbinnen het besluit zal worden genomen."
genomen;" $ Lid1 :  $  Voorafgaand aan de terinzagelegging geeft het bestuursorgaan in een of meer dag-, nieuws-, of huis-aan-huisbladen of op een andere geschikte wijze kennis van het ontwerp. Volstaan kan worden met het vermelden van de zakelijke inhoud.  $ Lid2 :  $  Indien het een besluit van een tot de centrale overheid behorend bestuursorgaan betreft, wordt de kennisgeving in ieder geval in de Staatscourant geplaatst, tenzij bij wettelijk voorschrift anders is bepaald.  $ Lid3 :  $  In de kennisgeving wordt vermeld:  $ Onderdeela :  $  waar en wanneer de stukken ter inzage zullen liggen;  $ Onderdeelb :  $  wie in de gelegenheid worden gesteld om zienswijzen naar voren te brengen;  $ Onderdeelc :  $  op welke wijze dit kan geschieden;  $ Onderdeeld :  $  indien toepassing is gegeven aan : de termijn waarbinnen het besluit zal worden genomen.artikel 3:18, tweede lid indien toepassing is gegeven aan : de termijn waarbinnen het besluit zal worden genomen."
stelt; $ Lid1 :  $  Belanghebbenden kunnen bij het bestuursorgaan naar keuze schriftelijk of mondeling hun zienswijze over het ontwerp naar voren brengen.  $ Lid2 :  $  Bij wettelijk voorschrift of door het bestuursorgaan kan worden bepaald dat ook aan anderen de gelegenheid moet worden geboden hun zienswijze naar voren te brengen.  $ Lid3 :  $  Indien het een besluit op aanvraag betreft, stelt het bestuursorgaan de aanvrager zo nodig in de gelegenheid te reageren op de naar voren gebrachte zienswijzen.  $ Lid4 :  $  Indien het een besluit tot wijziging of intrekking van een besluit betreft, stelt het bestuursorgaan degene tot wie het te wijzigen of in te trekken besluit is gericht zo nodig in de gelegenheid te reageren op de naar voren gebrachte zienswijzen.
wijzigen; $ Lid1 :  $  Belanghebbenden kunnen bij het bestuursorgaan naar keuze schriftelijk of mondeling hun zienswijze over het ontwerp naar voren brengen.  $ Lid2 :  $  Bij wettelijk voorschrift of door het bestuursorgaan kan worden bepaald dat ook aan anderen de gelegenheid moet worden geboden hun zienswijze naar voren te brengen.  $ Lid3 :  $  Indien het een besluit op aanvraag betreft, stelt het bestuursorgaan de aanvrager zo nodig in de gelegenheid te reageren op de naar voren gebrachte zienswijzen.  $ Lid4 :  $  Indien het een besluit tot wijziging of intrekking van een besluit betreft, stelt het bestuursorgaan degene tot wie het te wijzigen of in te trekken besluit is gericht zo nodig in de gelegenheid te reageren op de naar voren gebrachte zienswijzen.
neemt;" $ Lid1 :  $  Indien het een besluit op aanvraag betreft, neemt het bestuursorgaan het besluit zo spoedig mogelijk, doch uiterlijk zes maanden na ontvangst van de aanvraag.  $ Lid2 :  $  Indien de aanvraag een zeer ingewikkeld of omstreden onderwerp betreft, kan het bestuursorgaan, alvorens een ontwerp ter inzage te leggen, binnen acht weken na ontvangst van de aanvraag de in het eerste lid bedoelde termijn met een redelijke termijn verlengen. Voordat het bestuursorgaan een besluit tot verlenging neemt, stelt het de aanvrager in de gelegenheid zijn zienswijze daarover naar voren te brengen.  $ Lid3 :  $  In afwijking van het eerste lid neemt het bestuursorgaan het besluit uiterlijk twaalf weken na de terinzagelegging van het ontwerp, indien het een besluit betreft:  $ Onderdeela :  $  inzake intrekking van een besluit;  $ Onderdeelb :  $  inzake wijziging van een besluit en de aanvraag is gedaan door een ander dan degene tot wie het te wijzigen besluit is gericht.  $ Lid4 :  $  Indien geen zienswijzen naar voren zijn gebracht, doet het bestuursorgaan daarvan zo spoedig mogelijk nadat de termijn voor het naar voren brengen van zienswijzen is verstreken, mededeling op de wijze, bedoeld in . In afwijking van het eerste of derde lid neemt het bestuursorgaan het besluit in dat geval binnen vier weken nadat de termijn voor het naar voren brengen van zienswijzen is verstreken.artikel 3:12, eerste en tweede lid Indien geen zienswijzen naar voren zijn gebracht, doet het bestuursorgaan daarvan zo spoedig mogelijk nadat de termijn voor het naar voren brengen van zienswijzen is verstreken, mededeling op de wijze, bedoeld in . In afwijking van het eerste of derde lid neemt het bestuursorgaan het besluit in dat geval binnen vier weken nadat de termijn voor het naar voren brengen van zienswijzen is verstreken."
stelt;" $ Lid1 :  $  Indien het een besluit op aanvraag betreft, neemt het bestuursorgaan het besluit zo spoedig mogelijk, doch uiterlijk zes maanden na ontvangst van de aanvraag.  $ Lid2 :  $  Indien de aanvraag een zeer ingewikkeld of omstreden onderwerp betreft, kan het bestuursorgaan, alvorens een ontwerp ter inzage te leggen, binnen acht weken na ontvangst van de aanvraag de in het eerste lid bedoelde termijn met een redelijke termijn verlengen. Voordat het bestuursorgaan een besluit tot verlenging neemt, stelt het de aanvrager in de gelegenheid zijn zienswijze daarover naar voren te brengen.  $ Lid3 :  $  In afwijking van het eerste lid neemt het bestuursorgaan het besluit uiterlijk twaalf weken na de terinzagelegging van het ontwerp, indien het een besluit betreft:  $ Onderdeela :  $  inzake intrekking van een besluit;  $ Onderdeelb :  $  inzake wijziging van een besluit en de aanvraag is gedaan door een ander dan degene tot wie het te wijzigen besluit is gericht.  $ Lid4 :  $  Indien geen zienswijzen naar voren zijn gebracht, doet het bestuursorgaan daarvan zo spoedig mogelijk nadat de termijn voor het naar voren brengen van zienswijzen is verstreken, mededeling op de wijze, bedoeld in . In afwijking van het eerste of derde lid neemt het bestuursorgaan het besluit in dat geval binnen vier weken nadat de termijn voor het naar voren brengen van zienswijzen is verstreken.artikel 3:12, eerste en tweede lid Indien geen zienswijzen naar voren zijn gebracht, doet het bestuursorgaan daarvan zo spoedig mogelijk nadat de termijn voor het naar voren brengen van zienswijzen is verstreken, mededeling op de wijze, bedoeld in . In afwijking van het eerste of derde lid neemt het bestuursorgaan het besluit in dat geval binnen vier weken nadat de termijn voor het naar voren brengen van zienswijzen is verstreken."
wijzigen;" $ Lid1 :  $  Indien het een besluit op aanvraag betreft, neemt het bestuursorgaan het besluit zo spoedig mogelijk, doch uiterlijk zes maanden na ontvangst van de aanvraag.  $ Lid2 :  $  Indien de aanvraag een zeer ingewikkeld of omstreden onderwerp betreft, kan het bestuursorgaan, alvorens een ontwerp ter inzage te leggen, binnen acht weken na ontvangst van de aanvraag de in het eerste lid bedoelde termijn met een redelijke termijn verlengen. Voordat het bestuursorgaan een besluit tot verlenging neemt, stelt het de aanvrager in de gelegenheid zijn zienswijze daarover naar voren te brengen.  $ Lid3 :  $  In afwijking van het eerste lid neemt het bestuursorgaan het besluit uiterlijk twaalf weken na de terinzagelegging van het ontwerp, indien het een besluit betreft:  $ Onderdeela :  $  inzake intrekking van een besluit;  $ Onderdeelb :  $  inzake wijziging van een besluit en de aanvraag is gedaan door een ander dan degene tot wie het te wijzigen besluit is gericht.  $ Lid4 :  $  Indien geen zienswijzen naar voren zijn gebracht, doet het bestuursorgaan daarvan zo spoedig mogelijk nadat de termijn voor het naar voren brengen van zienswijzen is verstreken, mededeling op de wijze, bedoeld in . In afwijking van het eerste of derde lid neemt het bestuursorgaan het besluit in dat geval binnen vier weken nadat de termijn voor het naar voren brengen van zienswijzen is verstreken.artikel 3:12, eerste en tweede lid Indien geen zienswijzen naar voren zijn gebracht, doet het bestuursorgaan daarvan zo spoedig mogelijk nadat de termijn voor het naar voren brengen van zienswijzen is verstreken, mededeling op de wijze, bedoeld in . In afwijking van het eerste of derde lid neemt het bestuursorgaan het besluit in dat geval binnen vier weken nadat de termijn voor het naar voren brengen van zienswijzen is verstreken."
gesteld;" $ Lid1 :  $  Het bestuursorgaan bevordert dat een aanvrager in kennis wordt gesteld van andere op aanvraag te nemen besluiten waarvan het bestuursorgaan redelijkerwijs kan aannemen dat deze nodig zijn voor de door de aanvrager te verrichten activiteit.  $ Lid2 :  $  Bij de kennisgeving wordt per besluit in ieder geval vermeld:  $ Onderdeela :  $  naam en adres van het bestuursorgaan, bevoegd tot het nemen van het besluit;  $ Onderdeelb :  $  krachtens welk wettelijk voorschrift het besluit wordt genomen."
vastgesteld; $ Lid1 :  $  Deze paragraaf is van toepassing op besluiten ten aanzien waarvan dit is bepaald:  $ Onderdeela :  $  bij wettelijk voorschrift, of  $ Onderdeelb :  $  bij besluit van de tot het nemen van die besluiten bevoegde bestuursorganen.  $ Lid2 :  $  Deze paragraaf is niet van toepassing op besluiten als bedoeld in , of ten aanzien waarvan bij of krachtens wettelijk voorschrift een periode is vastgesteld, na afloop waarvan wordt beslist op aanvragen die in die periode zijn ingediend.artikel 4:21, tweede lid Deze paragraaf is niet van toepassing op besluiten als bedoeld in , of ten aanzien waarvan bij of krachtens wettelijk voorschrift een periode is vastgesteld, na afloop waarvan wordt beslist op aanvragen die in die periode zijn ingediend.
ingediend; $ Lid1 :  $  Deze paragraaf is van toepassing op besluiten ten aanzien waarvan dit is bepaald:  $ Onderdeela :  $  bij wettelijk voorschrift, of  $ Onderdeelb :  $  bij besluit van de tot het nemen van die besluiten bevoegde bestuursorganen.  $ Lid2 :  $  Deze paragraaf is niet van toepassing op besluiten als bedoeld in , of ten aanzien waarvan bij of krachtens wettelijk voorschrift een periode is vastgesteld, na afloop waarvan wordt beslist op aanvragen die in die periode zijn ingediend.artikel 4:21, tweede lid Deze paragraaf is niet van toepassing op besluiten als bedoeld in , of ten aanzien waarvan bij of krachtens wettelijk voorschrift een periode is vastgesteld, na afloop waarvan wordt beslist op aanvragen die in die periode zijn ingediend.
aangewezen;Bij of krachtens het in , bedoelde wettelijk voorschrift of bij het in , bedoelde besluit wordt een van de betrokken bestuursorganen aangewezen als cordinerend bestuursorgaan.artikel 3:21, eerste lid, onderdeel a
nemen; $ Lid1 :  $  Het cordinerend bestuursorgaan bevordert een doelmatige en samenhangende besluitvorming, waarbij de bestuursorganen bij de beoordeling van de aanvragen in ieder geval rekening houden met de onderlinge samenhang daartussen en tevens letten op de samenhang tussen de te nemen besluiten.  $ Lid2 :  $  De andere betrokken bestuursorganen verlenen de medewerking die voor het welslagen van een doelmatige en samenhangende besluitvorming nodig is.
verlenen; $ Lid1 :  $  Het cordinerend bestuursorgaan bevordert een doelmatige en samenhangende besluitvorming, waarbij de bestuursorganen bij de beoordeling van de aanvragen in ieder geval rekening houden met de onderlinge samenhang daartussen en tevens letten op de samenhang tussen de te nemen besluiten.  $ Lid2 :  $  De andere betrokken bestuursorganen verlenen de medewerking die voor het welslagen van een doelmatige en samenhangende besluitvorming nodig is.
besluiten; $ Lid1 :  $  De besluiten worden zoveel mogelijk gelijktijdig aangevraagd, met dien verstande dat de laatste aanvraag niet later wordt ingediend dan zes weken na ontvangst van de eerste aanvraag.  $ Lid2 :  $  De aanvragen worden ingediend bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van de aanvragen een afschrift daarvan aan de bevoegde bestuursorganen.  $ Lid3 :  $  Indien een aanvraag voor een van de besluiten ontbreekt, stelt het cordinerend bestuursorgaan de aanvrager in de gelegenheid de ontbrekende aanvraag binnen een door het cordinerend bestuursorgaan te bepalen termijn in te dienen. Indien de ontbrekende aanvraag niet tijdig wordt ingediend, is het cordinerend bestuursorgaan bevoegd om deze paragraaf ten aanzien van bepaalde besluiten buiten toepassing te laten. In dat geval wordt voor de toepassing van bij wettelijk voorschrift geregelde termijnen het tijdstip waarop tot het buiten toepassing laten wordt beslist, gelijkgesteld met het tijdstip van ontvangst van de aanvraag.  $ Lid4 :  $  Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.artikel 3:21, eerste lid, onderdeel a Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.
aangevraagd; $ Lid1 :  $  De besluiten worden zoveel mogelijk gelijktijdig aangevraagd, met dien verstande dat de laatste aanvraag niet later wordt ingediend dan zes weken na ontvangst van de eerste aanvraag.  $ Lid2 :  $  De aanvragen worden ingediend bij het cordinerend bestuursorgaan. Het cordinerend bestuursorgaan zendt terstond na ontvangst van de aanvragen een afschrift daarvan aan de bevoegde bestuursorganen.  $ Lid3 :  $  Indien een aanvraag voor een van de besluiten ontbreekt, stelt het cordinerend bestuursorgaan de aanvrager in de gelegenheid de ontbrekende aanvraag binnen een door het cordinerend bestuursorgaan te bepalen termijn in te dienen. Indien de ontbrekende aanvraag niet tijdig wordt ingediend, is het cordinerend bestuursorgaan bevoegd om deze paragraaf ten aanzien van bepaalde besluiten buiten toepassing te laten. In dat geval wordt voor de toepassing van bij wettelijk voorschrift geregelde termijnen het tijdstip waarop tot het buiten toepassing laten wordt beslist, gelijkgesteld met het tijdstip van ontvangst van de aanvraag.  $ Lid4 :  $  Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.artikel 3:21, eerste lid, onderdeel a Bij het in , bedoelde wettelijk voorschrift kan worden bepaald dat de aanvraag voor een besluit niet wordt behandeld indien niet tevens de aanvraag voor een ander besluit is ingediend.
