,Unnamed: 0,Nummer,Lid,Opsomming niveau 1,Opsomming niveau 2,Opsomming niveau 3,Zin,Brontekst,Versie,jci 1.3,tags,verbs
10,10,Hoofdstuk1,Artikel1.1,Onderdeel_11,,,,een onderdeel van de collectieve sector dat budgettair afzonderlijk wordt onderscheiden;budgetdisciplinesector:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('een', 'DT'), ('onderdeel', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('collectieve', 'JJ'), ('sector', 'NN')], ['ADJP', ('budgettair', 'JJ'), ('afzonderlijk', 'JJ')], ['VP', ('wordt', 'MD'), ('onderscheiden;budgetdisciplinesector', 'VBN')]]",{'onderscheiden;budgetdisciplinesectorren': 'onderscheiden;budgetdisciplinesector'}
11,11,Hoofdstuk1,Artikel1.1,Onderdeel_12,,,,"de Staten-Generaal, de Raad van State, de Algemene Rekenkamer, de Nationale ombudsman, de Kanselarij der Nederlandse Orden, het Kabinet van de Koning, het Kabinet van de Gouverneur van Aruba, het Kabinet van de Gouverneur van Curaao, het Kabinet van de Gouverneur van Sint Maarten, de Kiesraad en de Commissie van toezicht betreffende de inlichtingen- en veiligheidsdiensten;college:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('de', 'DT'), ('Staten-Generaal', 'NNP')], ['NP', ('de', 'DT'), ('Raad', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('State', 'NNP')], ['NP', ('de', 'DT'), ('Algemene', 'NNP'), ('Rekenkamer', 'NNP')], ['NP', ('de', 'DT'), ('Nationale', 'NNP'), ('ombudsman', 'NN')], ['NP', ('de', 'DT'), ('Kanselarij', 'NNP')], ['NP', ('der', 'DT'), ('Nederlandse', 'JJ'), ('Orden', 'NNP')], ['NP', ('het', 'DT'), ('Kabinet', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Koning', 'NNP')], ['NP', ('het', 'DT'), ('Kabinet', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Gouverneur', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('Aruba', 'NNP')], ['NP', ('het', 'DT'), ('Kabinet', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Gouverneur', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('Curaao', 'NNP')], ['NP', ('het', 'DT'), ('Kabinet', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('Gouverneur', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('Sint', 'NNP'), ('Maarten', 'NNP')], ['NP', ('de', 'DT'), ('Kiesraad', 'NNP')], ['NP', ('de', 'DT'), ('Commissie', 'NNP')], ['PP', ('van', 'IN')], ['NP', ('toezicht', 'NN')], ['VP', ('betreffende', 'VBG')], ['NP', ('de', 'DT'), ('inlichtingen', 'NNS')], ['NP', ('veiligheidsdiensten;college', 'NN')]]",{'betreffennen': 'betreffende'}
12,12,Hoofdstuk1,Artikel1.1,Onderdeel_13,,,,een organisatieonderdeel van een ministerie of een college;dienstonderdeel:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('een', 'DT'), ('organisatieonderdeel', 'NN')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('ministerie', 'NN')], ['NP', ('een', 'DT'), ('college;dienstonderdeel', 'NN')]]",{}
13,13,Hoofdstuk1,Artikel1.1,Onderdeel_14,,,,"het sturen en beheersen van de financile aspecten van het beleid en de bedrijfsvoering, waaronder de zorg voor:financieel beheer:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['VP', ('sturen', 'VB')], ['VP', ('beheersen', 'VBP')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('financile', 'JJ'), ('aspecten', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('beleid', 'NN')], ['NP', ('de', 'DT'), ('bedrijfsvoering', 'NN')], ['ADVP', ('waaronder', 'RB')], ['NP', ('de', 'DT'), ('zorg', 'NN'), ('voor:financieel', 'NN'), ('beheer', 'NN')]]","{'sturen': 'sturen', 'beheersen': 'beheersen'}"
14,14,Hoofdstuk1,Artikel1.1,Onderdeel_14,Onderdeela,,,het aangaan van financile verplichtingen;,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&o=a&z=2020-01-01&g=2020-01-01,"[['VP', ('aangaan', 'VBP')], ['PP', ('van', 'IN')], ['NP', ('financile', 'JJ'), ('verplichtingen', 'NNS')]]",{'aangaan': 'aangaan'}
15,15,Hoofdstuk1,Artikel1.1,Onderdeel_14,Onderdeelb,,,het heffen van belastingen en het opleggen van andere heffingen;,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&o=b&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('heffen', 'NN')], ['PP', ('van', 'IN')], ['NP', ('belastingen', 'NNS'), ('en', 'CC'), ('het', 'PRP'), ('opleggen', 'NN')], ['PP', ('van', 'IN')], ['NP', ('andere', 'PRP'), ('heffingen', 'NNS')]]",{}
16,16,Hoofdstuk1,Artikel1.1,Onderdeel_14,Onderdeelc,,,het in rekening brengen van kosten;,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&o=c&z=2020-01-01&g=2020-01-01,"[['PP', ('in', 'IN')], ['NP', ('rekening', 'NN')], ['VP', ('brengen', 'VB')], ['PP', ('van', 'IN')], ['NP', ('kosten', 'NNS')]]",{'brengen': 'brengen'}
17,17,Hoofdstuk1,Artikel1.1,Onderdeel_14,Onderdeeld,,,het beheer van de financile bezittingen en schulden;,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&o=d&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('beheer', 'NN')], ['PP', ('van', 'IN')], ['NP', ('de', 'DT'), ('financile', 'JJ'), ('bezittingen', 'NNS')], ['NP', ('schulden', 'NNS')]]",{}
18,18,Hoofdstuk1,Artikel1.1,Onderdeel_14,Onderdeele,,,het kasbeheer;,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&o=e&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('kasbeheer', 'NN')]]",{}
19,19,Hoofdstuk1,Artikel1.1,Onderdeel_15,,,,de in een begroting opgenomen informatie over de financile aspecten van het voorgenomen beleid en de voorgenomen bedrijfsvoering;financile begrotingsinformatie:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['PP', ('in', 'IN')], ['NP', ('een', 'DT'), ('begroting', 'NN')], ['VP', ('opgenomen', 'VBN')], ['NP', ('informatie', 'NN')], ['PP', ('over', 'IN')], ['NP', ('de', 'DT'), ('financile', 'JJ'), ('aspecten', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('voorgenomen', 'NN'), ('beleid', 'NN')], ['NP', ('de', 'DT'), ('voorgenomen', 'NNS')], ['NP', ('bedrijfsvoering;financile', 'JJ'), ('begrotingsinformatie', 'NN')]]",{'opnemen': 'opgenomen'}
20,20,Hoofdstuk1,Artikel1.1,Onderdeel_16,,,,de in een jaarverslag opgenomen informatie over de financile aspecten van het gevoerde beleid en de gevoerde bedrijfsvoering;financile verantwoordingsinformatie:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['PP', ('in', 'IN')], ['NP', ('een', 'DT'), ('jaarverslag', 'NN')], ['VP', ('opgenomen', 'VBN')], ['NP', ('informatie', 'NN')], ['PP', ('over', 'IN')], ['NP', ('de', 'DT'), ('financile', 'JJ'), ('aspecten', 'NNS')], ['PP', ('van', 'IN')], ['VP', ('gevoerde', 'VBN')], ['NP', ('beleid', 'NN')], ['VP', ('gevoerde', 'VBN')], ['NP', ('bedrijfsvoering;financile', 'JJ'), ('verantwoordingsinformatie', 'NN')]]","{'opnemen': 'opgenomen', 'gevoeren': 'gevoerde'}"
21,21,Hoofdstuk1,Artikel1.1,Onderdeel_17,,,,de voorwaardelijke of onvoorwaardelijke verplichting tot het in de toekomst doen van een kasbetaling aan een derde of aan een ander dienstonderdeel;financile verplichting:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('de', 'DT'), ('voorwaardelijke', 'JJ'), ('of', 'CC'), ('onvoorwaardelijke', 'JJ'), ('verplichting', 'NN')], ['PP', ('tot', 'IN')], ['PP', ('in', 'IN')], ['NP', ('de', 'DT'), ('toekomst', 'NN')], ['VP', ('doen', 'VB')], ['PP', ('van', 'IN')], ['NP', ('een', 'DT'), ('kasbetaling', 'NN')], ['PP', ('aan', 'IN')], ['PP', ('aan', 'IN')], ['NP', ('een', 'DT'), ('ander', 'PRP')], ['NP', ('dienstonderdeel;financile', 'JJ'), ('verplichting', 'NN')]]",{'doen': 'doen'}
22,22,Hoofdstuk1,Artikel1.1,Onderdeel_18,,,,"een niet-geoormerkte, meerjarige budgettaire reserve die wordt aangehouden op een rekening-courant bij het Ministerie van Financin;kasreserve:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('een', 'DT'), ('niet-geoormerkte', 'NN')], ['NP', ('meerjarige', 'JJ'), ('budgettaire', 'JJ'), ('reserve', 'JJ'), ('die', 'PRP')], ['VP', ('wordt', 'MD'), ('aangehouden', 'VBN')], ['PP', ('op', 'IN')], ['NP', ('een', 'DT'), ('rekening-courant', 'NN')], ['PP', ('bij', 'IN')], ['NP', ('het', 'DT'), ('Ministerie', 'NNP')], ['PP', ('van', 'IN')], ['ADJP', ('Financin;kasreserve', 'JJ')]]",{'aanhouden': 'aangehouden'}
23,23,Hoofdstuk1,Artikel1.1,Onderdeel_19,,,,het financieel-administratieve stelsel van rekeningen waarin als uitgaven en ontvangsten in een jaar worden opgenomen de kasuitgaven en de kasontvangsten in dat jaar;kasstelsel:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('financieel-administratieve', 'JJ'), ('stelsel', 'NN')], ['PP', ('van', 'IN')], ['NP', ('rekeningen', 'NNS')], ['ADVP', ('waarin', 'RB')], ['NP', ('uitgaven', 'NNS')], ['NP', ('ontvangsten', 'NNS')], ['PP', ('in', 'IN')], ['NP', ('een', 'DT'), ('jaar', 'NN')], ['VP', ('worden', 'MD'), ('opgenomen', 'VBN')], ['NP', ('de', 'DT'), ('kasuitgaven', 'NNS')], ['NP', ('de', 'DT'), ('kasontvangsten', 'NNS')], ['NP', ('dat', 'PRP'), ('jaar;kasstelsel', 'NN')]]",{'opnemen': 'opgenomen'}
24,24,Hoofdstuk1,Artikel1.1,Onderdeel_20,,,,de zorg voor het onderhoud en de instandhouding van roerende en onroerende zaken vanaf het moment van inbeheer- of ingebruikneming tot aan het moment van afstoting;materieelbeheer:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('de', 'DT'), ('zorg', 'NN')], ['PP', ('voor', 'IN')], ['NP', ('het', 'DT'), ('onderhoud', 'NN')], ['NP', ('de', 'DT'), ('instandhouding', 'NN')], ['PP', ('van', 'IN')], ['VP', ('roerende', 'VBG')], ['NP', ('onroerende', 'JJ'), ('zaken', 'NNS')], ['NP', ('het', 'DT'), ('moment', 'NN')], ['PP', ('van', 'IN')], ['NP', ('inbeheer', 'NN')], ['NP', ('ingebruikneming', 'NN')], ['PP', ('aan', 'IN')], ['NP', ('het', 'DT'), ('moment', 'NN')], ['PP', ('van', 'IN')], ['NP', ('afstoting;materieelbeheer', 'NN')]]",{'roerennen': 'roerende'}
25,25,Hoofdstuk1,Artikel1.1,Onderdeel_21,,,,"de materile aspecten van het beleid en de bedrijfsvoering, toegespitst op:materile bedrijfsvoering:",01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('de', 'DT'), ('materile', 'JJ'), ('aspecten', 'NNS')], ['PP', ('van', 'IN')], ['NP', ('het', 'DT'), ('beleid', 'NN')], ['NP', ('de', 'DT'), ('bedrijfsvoering', 'NN')], ['VP', ('toegespitst', 'VBN')], ['NP', ('op:materile', 'JJ'), ('bedrijfsvoering', 'NN')]]",{'toespitsen': 'toegespitst'}
26,26,Hoofdstuk1,Artikel1.1,Onderdeel_21,Onderdeela,,,het verwerven van materieel;,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('verwerven', 'NN')], ['PP', ('van', 'IN')], ['NP', ('materieel', 'NN')]]",{}
27,27,Hoofdstuk1,Artikel1.1,Onderdeel_21,Onderdeelb,,,het materieelbeheer;,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('materieelbeheer', 'NN')]]",{}
28,28,Hoofdstuk1,Artikel1.1,Onderdeel_21,Onderdeelc,,,het afstoten van materieel;,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['NP', ('het', 'DT'), ('afstoten', 'NN')], ['PP', ('van', 'IN')], ['NP', ('materieel', 'NN')]]",{}
29,29,Hoofdstuk1,Artikel1.1,Onderdeel_22,,,,de in een jaarverslag opgenomen informatie over de niet-financile aspecten van het gevoerde beleid en de gevoerde bedrijfsvoering;niet-financile verantwoordingsinformatie:,01-01-2018,jci1.3:c:BWBR0039429&hoofdstuk=1&artikel=1.1&z=2020-01-01&g=2020-01-01,"[['PP', ('in', 'IN')], ['NP', ('een', 'DT'), ('jaarverslag', 'NN')], ['VP', ('opgenomen', 'VBN')], ['NP', ('informatie', 'NN')], ['PP', ('over', 'IN')], ['NP', ('de', 'DT'), ('niet-financile', 'JJ'), ('aspecten', 'NNS')], ['PP', ('van', 'IN')], ['VP', ('gevoerde', 'VBN')], ['NP', ('beleid', 'NN')], ['VP', ('gevoerde', 'VBN')], ['NP', ('bedrijfsvoering;niet-financile', 'JJ'), ('verantwoordingsinformatie', 'NN')]]","{'opnemen': 'opgenomen', 'gevoeren': 'gevoerde'}"
